state,democratVote,republicanVote
Alabama,0,9
Alaska,0,3
Arizona,11,0
Arkansas,0,6
California,55,0
Colorado,9,0
Connecticut,7,0
Delaware,3,0
District Of Columbia,3,0
Florida,0,29
Georgia,16,0
Hawaii,4,0
Idaho,0,4
Illinois,20,0
Indiana,0,11
Iowa,0,6
Kansas,0,6
Kentucky,0,8
Louisiana,0,8
Maine,3,1
Maryland,10,0
Massachusetts,11,0
Michigan,16,0
Minnesota,10,0
Mississippi,0,6
Missouri,0,10
Montana,0,3
Nebraska,1,4
Nevada,6,0
New Hampshire,4,0
New Jersey,14,0
New Mexico,5,0
New York,29,0
North Carolina,0,15
North Dakota,0,3
Ohio,0,18
Oklahoma,0,7
Oregon,7,0
Pennsylvania,20,0
Rhode Island,4,0
South Carolina,0,9
South Dakota,0,3
Tennessee,0,11
Texas,0,38
Utah,0,6
Vermont,3,0
Virginia,13,0
Washington,12,0
West Virginia,0,5
Wisconsin,10,0
Wyoming,0,3